ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601000.SH,20121231,3.31,3.34,3.28,3.33,3.29,0.040000000000000036,1.2158,88739.79,29379.973,1.3549,1.01,14.6522,11.9228,1.349,2.255,1.712,1.77,1.33,203035.1504,104035.1504,65493.5504,676107.0508,346437.0508
601000.SH,20121228,3.32,3.34,3.28,3.29,3.31,-0.020000000000000018,-0.6042,85685.83,28291.012,1.3083,1.03,14.4762,11.7796,1.3328,2.2279,1.6914,1.8,1.35,203035.1504,104035.1504,65493.5504,667985.6448,342275.6448
601000.SH,20121227,3.37,3.39,3.31,3.31,3.37,-0.06000000000000005,-1.7804,74288.68,24775.431,1.1343,0.89,14.5642,11.8512,1.3409,2.2415,1.7017,1.79,1.34,203035.1504,104035.1504,65493.5504,672046.3478,344356.3478
601000.SH,20121226,3.36,3.42,3.34,3.37,3.37,0.0,0.0,84433.05,28486.869,1.2892,1.02,14.8282,12.066,1.3652,2.2821,1.7325,1.75,1.32,203035.1504,104035.1504,65493.5504,684228.4568,350598.4568
601000.SH,20121225,3.24,3.38,3.24,3.37,3.24,0.1299999999999999,4.0123,144533.7,47903.688,2.2068,1.7,14.8282,12.066,1.3652,2.2821,1.7325,1.75,1.32,203035.1504,104035.1504,65493.5504,684228.4568,350598.4568
601000.SH,20121224,3.24,3.26,3.22,3.24,3.24,0.0,0.0,49710.63,16121.933,0.759,0.44,14.2562,11.6006,1.3125,2.1941,1.6657,1.82,1.37,203035.1504,104035.1504,65493.5504,657833.8873,337073.8873
601000.SH,20121221,3.25,3.29,3.22,3.24,3.25,-0.009999999999999787,-0.3077,62450.29,20306.802,0.9535,0.45,14.2562,11.6006,1.3125,2.1941,1.6657,1.82,1.37,203035.1504,104035.1504,65493.5504,657833.8873,337073.8873
601000.SH,20121220,3.29,3.29,3.21,3.25,3.28,-0.029999999999999805,-0.9146,76481.51,24807.809,1.1678,0.57,14.3002,11.6364,1.3166,2.2008,1.6708,1.82,1.37,203035.1504,104035.1504,65493.5504,659864.2388,338114.2388
601000.SH,20121219,3.28,3.32,3.25,3.28,3.28,0.0,0.0,82027.67,26950.205,1.2525,0.61,14.4322,11.7438,1.3287,2.2211,1.6863,1.8,1.36,203035.1504,104035.1504,65493.5504,665955.2933,341235.2933
601000.SH,20121218,3.3,3.39,3.23,3.28,3.31,-0.03000000000000025,-0.9063,154575.45,51409.486,2.3602,1.22,14.4322,11.7438,1.3287,2.2211,1.6863,1.8,1.36,203035.1504,104035.1504,65493.5504,665955.2933,341235.2933
601000.SH,20121217,3.3,3.42,3.28,3.31,3.32,-0.009999999999999787,-0.3012,188357.92,62925.985,2.876,1.61,14.5642,11.8512,1.3409,2.2415,1.7017,1.79,1.34,203035.1504,104035.1504,65493.5504,672046.3478,344356.3478
601000.SH,20121214,3.21,3.35,3.21,3.32,3.22,0.09999999999999964,3.1056,200058.64,66096.583,3.0546,1.73,14.6082,11.887,1.3449,2.2482,1.7068,1.78,1.34,203035.1504,104035.1504,65493.5504,674076.6993,345396.6993
601000.SH,20121213,3.2,3.26,3.19,3.22,3.25,-0.029999999999999805,-0.9231,45996.21,14824.613,0.7023,0.3,14.1682,11.529,1.3044,2.1805,1.6554,1.84,1.38,203035.1504,104035.1504,65493.5504,653773.1843,334993.1843
