ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600100.SH,20121226,7.31,7.5,7.28,7.48,7.32,0.16000000000000014,2.1858,224453.93,166019.547,1.4836,1.57,21.017,19.8446,1.7394,0.7093,0.6678,0.67,1.34,198770.1108,198770.1108,151294.173,1486800.4288,1486800.4288
600100.SH,20121225,7.19,7.35,7.13,7.32,7.19,0.1299999999999999,1.8081,193499.65,140891.563,1.279,1.43,20.5674,19.4201,1.7022,0.6941,0.6536,0.68,1.37,198770.1108,198770.1108,151294.173,1454997.2111,1454997.2111
600100.SH,20121224,7.19,7.26,7.14,7.19,7.19,0.0,0.0,100264.53,72326.174,0.6627,0.69,20.2022,19.0752,1.6719,0.6818,0.6419,0.7,1.39,198770.1108,198770.1108,151294.173,1429157.0967,1429157.0967
600100.SH,20121221,7.14,7.3,7.09,7.19,7.12,0.07000000000000028,0.9831,188265.98,135664.533,1.2444,1.22,20.2022,19.0752,1.6719,0.6818,0.6419,0.7,1.39,198770.1108,198770.1108,151294.173,1429157.0967,1429157.0967
600100.SH,20121220,7.12,7.15,7.05,7.12,7.15,-0.03000000000000025,-0.4196,114064.17,80944.937,0.7539,0.75,20.0055,18.8895,1.6556,0.6751,0.6357,0.7,1.4,198770.1108,198770.1108,151294.173,1415243.1889,1415243.1889
600100.SH,20121219,7.12,7.24,7.11,7.15,7.14,0.010000000000000675,0.1401,118877.49,85255.17,0.7857,0.79,20.0898,18.9691,1.6626,0.678,0.6384,0.7,1.4,198770.1108,198770.1108,151294.173,1421206.2922,1421206.2922
600100.SH,20121218,7.18,7.28,7.08,7.14,7.18,-0.040000000000000036,-0.5571,157394.26,112702.585,1.0403,1.07,20.0617,18.9426,1.6603,0.677,0.6375,0.7,1.4,198770.1108,198770.1108,151294.173,1419218.5911,1419218.5911
600100.SH,20121217,7.13,7.2,7.09,7.18,7.15,0.02999999999999936,0.4196,147668.12,105650.274,0.976,1.0,20.1741,19.0487,1.6696,0.6808,0.6411,0.7,1.39,198770.1108,198770.1108,151294.173,1427169.3955,1427169.3955
600100.SH,20121214,6.84,7.25,6.82,7.15,6.83,0.3200000000000003,4.6852,233311.4,165145.244,1.5421,1.84,20.0898,18.9691,1.6626,0.678,0.6384,0.7,1.4,198770.1108,198770.1108,151294.173,1421206.2922,1421206.2922
600100.SH,20121213,6.86,6.92,6.78,6.83,6.85,-0.019999999999999574,-0.292,101403.2,69393.622,0.6702,0.8,19.1906,18.1201,1.5882,0.6476,0.6098,0.73,1.46,198770.1108,198770.1108,151294.173,1357599.8568,1357599.8568
600100.SH,20121212,6.9,6.93,6.77,6.85,6.91,-0.0600000000000005,-0.8683,112752.68,77017.123,0.7453,0.83,19.2468,18.1732,1.5929,0.6495,0.6116,0.73,1.46,198770.1108,198770.1108,151294.173,1361575.259,1361575.259
