ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20121212,39.81,40.1,39.44,39.88,39.8,0.0800000000000054,0.201,177110.23,704544.642,0.4114,0.63,16.2103,15.0038,2.1594,1.2683,1.0885,1.34,1.0,791614.2092,478640.9636,430505.0085,31569574.6629,19088201.6284
601318.SH,20121211,39.89,40.18,39.65,39.8,39.99,-0.19000000000000483,-0.4751,214258.59,854600.165,0.4977,0.76,16.1778,14.9737,2.155,1.2657,1.0863,1.35,1.01,791614.2092,478640.9636,430505.0085,31506245.5262,19049910.3513
601318.SH,20121210,39.5,40.38,39.5,39.99,39.31,0.6799999999999997,1.7298,315659.8,1259664.988,0.7332,1.2,16.255,15.0452,2.1653,1.2718,1.0915,1.34,1.0,791614.2092,478640.9636,430505.0085,31656652.2259,19140852.1344
601318.SH,20121207,38.78,39.47,38.43,39.31,38.9,0.4100000000000037,1.054,281151.81,1101491.558,0.6531,1.2,15.9786,14.7894,2.1285,1.2502,1.073,1.36,1.02,791614.2092,478640.9636,430505.0085,31118354.5637,18815376.2791
601318.SH,20121206,38.87,39.33,38.6,38.9,38.92,-0.020000000000003126,-0.0514,208837.09,813257.082,0.4851,0.97,15.812,14.6351,2.1063,1.2371,1.0618,1.38,1.03,791614.2092,478640.9636,430505.0085,30793792.7379,18619133.484
601318.SH,20121205,37.35,39.16,37.35,38.92,37.39,1.5300000000000011,4.092,378333.66,1460588.25,0.8788,2.33,15.8201,14.6427,2.1074,1.2378,1.0623,1.38,1.03,791614.2092,478640.9636,430505.0085,30809625.0221,18628706.3033
601318.SH,20121204,36.71,37.67,36.71,37.39,36.63,0.759999999999998,2.0748,231924.68,865541.778,0.5387,1.62,15.1982,14.067,2.0245,1.1891,1.0206,1.43,1.07,791614.2092,478640.9636,430505.0085,29598455.282,17896385.629
601318.SH,20121203,36.4,37.7,36.32,36.63,36.48,0.15000000000000568,0.4112,216819.16,804512.926,0.5036,1.84,14.8893,13.7811,1.9834,1.1649,0.9998,1.46,1.09,791614.2092,478640.9636,430505.0085,28996828.483,17532618.4967
601318.SH,20121130,35.57,36.89,35.57,36.48,35.68,0.7999999999999972,2.2422,131378.46,477398.967,0.3052,1.04,14.8283,13.7247,1.9753,1.1602,0.9957,1.47,1.1,791614.2092,478640.9636,430505.0085,28878086.3516,17460822.3521
601318.SH,20121129,35.71,36.1,35.55,35.68,35.82,-0.14000000000000057,-0.3908,112715.31,404014.375,0.2618,0.89,14.5031,13.4237,1.932,1.1347,0.9739,1.5,1.12,791614.2092,478640.9636,430505.0085,28244794.9843,17077909.5812
601318.SH,20121128,36.13,36.17,35.6,35.82,36.23,-0.4099999999999966,-1.1317,119523.84,428744.07,0.2776,0.87,14.56,13.4764,1.9395,1.1392,0.9777,1.5,1.12,791614.2092,478640.9636,430505.0085,28355620.9735,17144919.3162
601318.SH,20121127,36.93,37.15,36.15,36.23,37.0,-0.7700000000000031,-2.0811,133452.63,488331.06,0.31,0.8,14.7267,13.6306,1.9617,1.1522,0.9889,1.48,1.1,791614.2092,478640.9636,430505.0085,28680182.7993,17341162.1112
601318.SH,20121126,37.04,37.23,36.8,37.0,37.12,-0.11999999999999744,-0.3233,90989.75,337023.692,0.2114,0.4,15.0397,13.9203,2.0034,1.1767,1.0099,1.45,1.08,791614.2092,478640.9636,430505.0085,29289725.7404,17709715.6532
601318.SH,20121123,36.57,37.84,36.45,37.12,36.5,0.6199999999999974,1.6986,175134.28,652016.995,0.4068,0.78,15.0884,13.9655,2.0099,1.1805,1.0132,1.44,1.08,791614.2092,478640.9636,430505.0085,29384719.4455,17767152.5688
601318.SH,20121122,36.27,36.55,36.01,36.5,36.44,0.060000000000002274,0.1647,110623.12,400940.093,0.257,0.46,14.8364,13.7322,1.9764,1.1608,0.9963,1.47,1.1,791614.2092,478640.9636,430505.0085,28893918.6358,17470395.1714
601318.SH,20121121,35.3,36.5,35.3,36.44,35.33,1.1099999999999994,3.1418,174756.36,627328.832,0.4059,0.76,14.812,13.7096,1.9731,1.1589,0.9946,1.47,1.1,791614.2092,478640.9636,430505.0085,28846421.7832,17441676.7136
