ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600000.SH,20121231,9.64,9.96,9.63,9.92,9.59,0.33000000000000007,3.4411,1984516.48,1956467.612,1.9059,1.39,6.7816,5.5233,1.0904,2.7245,2.3293,1.24,3.02,1865347.1415,1492277.7132,1041223.7422,18504243.6437,14803394.9149
600000.SH,20121228,9.37,9.64,9.37,9.59,9.39,0.1999999999999993,2.1299,1195998.42,1140200.526,1.1486,0.83,6.556,5.3396,1.0542,2.6339,2.2518,1.28,3.13,1865347.1415,1492277.7132,1041223.7422,17888679.087,14310943.2696
600000.SH,20121227,9.46,9.64,9.32,9.39,9.46,-0.07000000000000028,-0.74,1278479.46,1211244.239,1.2279,0.86,6.4193,5.2282,1.0322,2.5789,2.2049,1.31,3.19,1865347.1415,1492277.7132,1041223.7422,17515609.6587,14012487.7269
600000.SH,20121226,9.46,9.49,9.37,9.46,9.45,0.010000000000001563,0.1058,960130.21,904988.194,0.9221,0.58,6.4671,5.2672,1.0399,2.5982,2.2213,1.3,3.17,1865347.1415,1492277.7132,1041223.7422,17646183.9586,14116947.1669
600000.SH,20121225,9.07,9.56,9.04,9.45,9.09,0.35999999999999943,3.9604,2342266.89,2200438.398,2.2495,1.42,6.4603,5.2617,1.0388,2.5954,2.219,1.3,3.17,1865347.1415,1492277.7132,1041223.7422,17627530.4872,14102024.3897
600000.SH,20121224,8.94,9.26,8.94,9.09,8.97,0.11999999999999922,1.3378,1346427.26,1224943.518,1.2931,0.71,6.2142,5.0612,0.9992,2.4966,2.1344,1.35,3.3,1865347.1415,1492277.7132,1041223.7422,16956005.5162,13564804.413
600000.SH,20121221,9.06,9.11,8.88,8.97,9.06,-0.08999999999999986,-0.9934,1308200.92,1174200.111,1.2564,0.56,6.1321,4.9944,0.986,2.4636,2.1063,1.37,3.34,1865347.1415,1492277.7132,1041223.7422,16732163.8593,13385731.0874
600000.SH,20121220,8.99,9.07,8.88,9.06,9.05,0.009999999999999787,0.1105,1497508.77,1346132.252,1.4382,0.66,6.1937,5.0445,0.9959,2.4883,2.1274,1.36,3.31,1865347.1415,1492277.7132,1041223.7422,16900045.102,13520036.0816
600000.SH,20121219,9.11,9.16,8.98,9.05,9.14,-0.08999999999999986,-0.9847,1766706.47,1601205.282,1.6968,0.78,6.1868,5.0389,0.9948,2.4856,2.125,1.36,3.31,1865347.1415,1492277.7132,1041223.7422,16881391.6306,13505113.3045
600000.SH,20121218,9.01,9.29,8.97,9.14,9.07,0.07000000000000028,0.7718,2348802.14,2144833.795,2.2558,1.16,6.2484,5.0891,1.0047,2.5103,2.1462,1.35,3.28,1865347.1415,1492277.7132,1041223.7422,17049272.8733,13639418.2986
600000.SH,20121217,9.0,9.11,8.94,9.07,8.9,0.16999999999999993,1.9101,2547830.7,2298528.87,2.447,1.31,6.2005,5.0501,0.997,2.4911,2.1297,1.36,3.31,1865347.1415,1492277.7132,1041223.7422,16918698.5734,13534958.8587
600000.SH,20121214,8.32,8.99,8.32,8.9,8.29,0.6100000000000012,7.3583,3443944.55,3002867.566,3.3076,2.01,6.0843,4.9554,0.9783,2.4444,2.0898,1.38,3.37,1865347.1415,1492277.7132,1041223.7422,16601589.5594,13281271.6475
600000.SH,20121213,8.35,8.45,8.28,8.29,8.4,-0.11000000000000121,-1.3095,1240945.25,1038553.776,1.1918,0.73,5.6673,4.6158,0.9113,2.2768,1.9466,1.48,3.62,1865347.1415,1492277.7132,1041223.7422,15463727.803,12370982.2424
600000.SH,20121212,8.29,8.49,8.29,8.4,8.28,0.120000000000001,1.4493,1741269.7,1463952.981,1.6723,0.97,5.7425,4.677,0.9234,2.307,1.9724,1.47,3.57,1865347.1415,1492277.7132,1041223.7422,15668915.9886,12535132.7909
600000.SH,20121211,8.32,8.37,8.25,8.28,8.33,-0.05000000000000071,-0.6002,1149307.61,955761.506,1.1038,0.7,5.6604,4.6102,0.9102,2.2741,1.9442,1.49,3.62,1865347.1415,1492277.7132,1041223.7422,15445074.3316,12356059.4653
600000.SH,20121210,8.35,8.42,8.26,8.33,8.26,0.07000000000000028,0.8475,2152548.03,1796312.749,2.0673,1.63,5.6946,4.6381,0.9157,2.2878,1.956,1.48,3.6,1865347.1415,1492277.7132,1041223.7422,15538341.6887,12430673.351
600000.SH,20121207,7.93,8.28,7.92,8.26,7.89,0.3700000000000001,4.6895,2292491.95,1863056.888,2.2017,2.44,5.6468,4.5991,0.908,2.2686,1.9395,1.49,3.63,1865347.1415,1492277.7132,1041223.7422,15407767.3888,12326213.911
600000.SH,20121206,7.87,7.97,7.83,7.89,7.88,0.009999999999999787,0.1269,1151349.79,910874.057,1.1058,1.46,5.3938,4.3931,0.8673,2.167,1.8527,1.56,3.8,1865347.1415,1492277.7132,1041223.7422,14717588.9464,11774071.1571
600000.SH,20121205,7.43,7.92,7.41,7.88,7.43,0.4500000000000002,6.0565,2270020.22,1764021.567,2.1801,5.44,5.387,4.3875,0.8662,2.1642,1.8503,1.56,3.81,1865347.1415,1492277.7132,1041223.7422,14698935.475,11759148.38
600000.SH,20121204,7.33,7.46,7.33,7.43,7.35,0.08000000000000007,1.0884,349748.19,258840.206,0.3359,0.81,5.0794,4.1369,0.8167,2.0406,1.7447,1.66,4.04,1865347.1415,1492277.7132,1041223.7422,13859529.2613,11087623.4091
600000.SH,20121203,7.46,7.47,7.34,7.35,7.46,-0.11000000000000032,-1.4745,537692.33,396827.583,0.5164,1.42,5.0247,4.0924,0.8079,2.0187,1.7259,1.67,4.08,1865347.1415,1492277.7132,1041223.7422,13710301.49,10968241.192
